
> kas-app@0.1.0 dev
> next dev

⚠ Port 3000 is in use by an unknown process, using available port 3001 instead.
▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.0.2:3001
- Environments: .env
✓ Ready in 647ms

○ Compiling /login ...
 GET /login 200 in 4.2s (next.js: 3.9s, application-code: 308ms)
 GET /api/auth/me 200 in 613ms (next.js: 588ms, application-code: 25ms)
 POST /api/auth/login 200 in 1049ms (next.js: 854ms, application-code: 194ms)
○ Compiling / ...
 GET / 200 in 3.8s (next.js: 3.7s, application-code: 114ms)
 GET /api/auth/me 200 in 26ms (next.js: 5ms, application-code: 22ms)
 GET /api/auth/me 200 in 39ms (next.js: 4ms, application-code: 35ms)
 GET /api/auth/me 200 in 17ms (next.js: 3ms, application-code: 14ms)
 GET /api/auth/me 200 in 14ms (next.js: 3ms, application-code: 11ms)
 GET /api/dashboard 200 in 441ms (next.js: 420ms, application-code: 22ms)
 GET /api/dashboard 200 in 31ms (next.js: 9ms, application-code: 22ms)
 GET /kas 200 in 2.7s (next.js: 2.6s, application-code: 38ms)
 GET /api/auth/me 200 in 23ms (next.js: 3ms, application-code: 20ms)
 GET /api/auth/me 200 in 17ms (next.js: 4ms, application-code: 14ms)
 GET /api/auth/me 200 in 35ms (next.js: 4ms, application-code: 31ms)
 GET /api/master/buildings 200 in 329ms (next.js: 316ms, application-code: 12ms)
 GET /api/master/categories 200 in 419ms (next.js: 392ms, application-code: 27ms)
 GET /api/master/buildings 200 in 19ms (next.js: 3ms, application-code: 15ms)
 GET /api/master/categories 200 in 12ms (next.js: 2ms, application-code: 9ms)
 GET /login 200 in 70ms (next.js: 6ms, application-code: 64ms)
 GET /api/auth/me 200 in 12ms (next.js: 4ms, application-code: 8ms)
 POST /api/auth/login 200 in 150ms (next.js: 3ms, application-code: 147ms)
 GET / 200 in 38ms (next.js: 4ms, application-code: 34ms)
 GET /api/auth/me 200 in 26ms (next.js: 12ms, application-code: 14ms)
 GET /api/auth/me 200 in 8ms (next.js: 2ms, application-code: 6ms)
 GET /api/auth/me 200 in 10ms (next.js: 3ms, application-code: 7ms)
 GET /api/auth/me 200 in 9ms (next.js: 2ms, application-code: 7ms)
 GET /api/dashboard 200 in 13ms (next.js: 3ms, application-code: 10ms)
 GET /api/dashboard 200 in 20ms (next.js: 3ms, application-code: 17ms)
 GET /kas 200 in 70ms (next.js: 4ms, application-code: 66ms)
 GET /api/auth/me 200 in 12ms (next.js: 3ms, application-code: 9ms)
 GET /api/master/buildings 200 in 25ms (next.js: 9ms, application-code: 17ms)
 GET /api/master/categories 200 in 29ms (next.js: 15ms, application-code: 14ms)
 GET /api/auth/me 200 in 15ms (next.js: 6ms, application-code: 10ms)
 GET /api/master/buildings 200 in 30ms (next.js: 4ms, application-code: 26ms)
 GET /api/master/categories 200 in 32ms (next.js: 7ms, application-code: 24ms)
 GET /api/auth/me 200 in 10ms (next.js: 3ms, application-code: 8ms)
 GET /api/master/rooms?buildingId=1a571cb8-7e30-4e3c-81c5-514f8a6fcaf9 200 in 290ms (next.js: 276ms, application-code: 14ms)
 GET /api/transactions?roomId=7d32a7ce-4702-4c37-967f-a3519eef4bda 200 in 297ms (next.js: 282ms, application-code: 15ms)
 GET /login 200 in 68ms (next.js: 3ms, application-code: 65ms)
 GET /api/auth/me 200 in 8ms (next.js: 3ms, application-code: 6ms)
 POST /api/auth/login 200 in 148ms (next.js: 4ms, application-code: 144ms)
 GET / 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET /api/auth/me 200 in 17ms (next.js: 2ms, application-code: 15ms)
 GET /api/auth/me 200 in 11ms (next.js: 3ms, application-code: 8ms)
 GET /api/auth/me 200 in 9ms (next.js: 2ms, application-code: 6ms)
 GET /api/auth/me 200 in 16ms (next.js: 4ms, application-code: 12ms)
 GET /api/dashboard 200 in 13ms (next.js: 3ms, application-code: 10ms)
 GET /api/dashboard 200 in 17ms (next.js: 3ms, application-code: 15ms)
 GET /kas 200 in 60ms (next.js: 6ms, application-code: 55ms)
 GET /api/auth/me 200 in 10ms (next.js: 3ms, application-code: 8ms)
 GET /api/master/buildings 200 in 27ms (next.js: 8ms, application-code: 19ms)
 GET /api/master/categories 200 in 28ms (next.js: 9ms, application-code: 19ms)
 GET /api/auth/me 200 in 28ms (next.js: 10ms, application-code: 17ms)
 GET /api/master/buildings 200 in 56ms (next.js: 4ms, application-code: 52ms)
 GET /api/master/categories 200 in 60ms (next.js: 19ms, application-code: 41ms)
 GET /api/auth/me 200 in 61ms (next.js: 37ms, application-code: 24ms)
 GET /api/master/rooms?buildingId=1a571cb8-7e30-4e3c-81c5-514f8a6fcaf9 200 in 11ms (next.js: 3ms, application-code: 9ms)
 GET /api/transactions?roomId=7d32a7ce-4702-4c37-967f-a3519eef4bda 200 in 12ms (next.js: 3ms, application-code: 9ms)
 POST /api/transactions 201 in 19ms (next.js: 3ms, application-code: 17ms)
 GET /api/transactions?roomId=7d32a7ce-4702-4c37-967f-a3519eef4bda 200 in 11ms (next.js: 2ms, application-code: 8ms)
 GET /audit 200 in 775ms (next.js: 726ms, application-code: 49ms)
 GET /api/auth/me 200 in 11ms (next.js: 3ms, application-code: 9ms)
 GET /api/auth/me 200 in 15ms (next.js: 4ms, application-code: 11ms)
 GET /api/auth/me 200 in 10ms (next.js: 3ms, application-code: 7ms)
 GET /api/audit 200 in 285ms (next.js: 271ms, application-code: 14ms)
 GET /api/audit 200 in 10ms (next.js: 3ms, application-code: 7ms)
